enrollee_id,city,city_development_index,gender,relevant_exp,enrolled_university,edu_level,major_discipline,exp,company_size,company_type,last_new_job,training_hours,target,Xgrp
26494,city_16,0.91,Male,Has,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145.0,0,train
4866,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206.0,0,train
12726,city_114,0.926,Male,No,Part time course,High School,,1,10000+,Other,1,152.0,0,train
10164,city_114,0.926,Male,Has,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42.0,1,train
8612,city_103,0.92,,No,no_enrollment,Graduate,STEM,12,,,4,50.0,0,train
24659,city_71,0.884,Male,No,no_enrollment,,,3,,,never,106.0,0,train
2547,city_114,0.926,Female,Has,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14.0,0,train
13854,city_104,0.924,Male,Has,no_enrollment,High School,,4,10/49,Pvt Ltd,2,36.0,0,train
31654,city_21,0.624,,Has,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112.0,1,train
13643,city_64,0.6659999999999999,,No,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108.0,0,train
5590,city_21,0.624,Male,Has,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7.0,1,train
22452,city_21,0.624,Female,No,Full time course,Masters,STEM,5,,,never,26.0,1,train
9006,city_21,0.624,Male,Has,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87.0,1,train
25987,city_103,0.92,Other,Has,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52.0,1,train
4476,city_101,0.5579999999999999,Male,Has,no_enrollment,Graduate,No Major,15,,,>4,20.0,1,train
25103,city_83,0.923,Male,Has,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21.0,0,train
5568,city_101,0.5579999999999999,Male,No,no_enrollment,Graduate,STEM,4,,,1,92.0,1,train
2195,city_64,0.6659999999999999,Male,Has,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102.0,0,train
30533,city_105,0.794,Male,No,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26.0,0,train
28512,city_104,0.924,,Has,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7.0,0,train
1023,city_114,0.926,Male,No,Full time course,High School,,4,10000+,Pvt Ltd,1,43.0,0,train
12253,city_104,0.924,Male,Has,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45.0,0,train
25296,city_73,0.754,Male,Has,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52.0,0,train
13238,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,,,2,19.0,0,train
13478,city_21,0.624,,Has,Full time course,Graduate,STEM,2,10/49,Funded Startup,,32.0,1,train
18578,city_162,0.767,Male,Has,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26.0,1,train
29975,city_67,0.855,Male,Has,Part time course,Graduate,STEM,6,,,1,90.0,0,train
26516,city_75,0.939,Male,Has,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25.0,0,train
24690,city_41,0.8270000000000001,,Has,,Masters,STEM,13,<10,,1,15.0,0,train
8433,city_100,0.887,Male,Has,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48.0,0,train
9572,city_11,0.55,,No,Full time course,High School,,3,,,,98.0,0,train
5878,city_93,0.865,Male,Has,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142.0,1,train
25695,city_67,0.855,Other,No,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13.0,0,train
9645,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,15,,,>4,47.0,0,train
12730,city_16,0.91,Female,Has,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28.0,0,train
4830,city_90,0.698,,No,,,,2,,Pvt Ltd,never,228.0,1,train
20970,city_64,0.6659999999999999,Male,Has,no_enrollment,Graduate,STEM,>20,,,4,22.0,0,train
17271,city_21,0.624,Male,No,Full time course,Graduate,STEM,<1,,,never,18.0,1,train
12731,city_13,0.8270000000000001,Male,Has,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29.0,0,train
10908,city_67,0.855,Male,Has,no_enrollment,Masters,STEM,5,100-500,,1,46.0,0,train
29117,city_11,0.55,,No,Full time course,Graduate,STEM,<1,,,never,12.0,0,train
3686,city_103,0.92,,Has,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17.0,0,train
22683,city_36,0.893,Male,Has,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65.0,0,train
22134,city_103,0.92,Male,No,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35.0,0,train
31765,city_67,0.855,Male,No,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14.0,0,train
31449,city_103,0.92,Female,Has,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4.0,0,train
5987,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12.0,0,train
21762,city_160,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108.0,0,train
22070,city_103,0.92,Male,No,no_enrollment,Graduate,STEM,>20,,,1,136.0,0,train
25413,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,5,10/49,,1,27.0,0,train
5902,city_20,0.7959999999999999,,Has,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74.0,0,train
28403,city_71,0.884,Male,Has,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86.0,0,train
30937,city_57,0.866,Female,No,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83.0,0,train
28751,city_103,0.92,,No,Full time course,High School,,4,,,3,75.0,0,train
29290,city_152,0.698,Male,No,Full time course,Masters,STEM,11,,Public Sector,2,42.0,0,train
32401,city_103,0.92,Female,Has,no_enrollment,Graduate,STEM,6,100-500,,1,332.0,0,train
19128,city_61,0.913,Male,No,Full time course,Graduate,STEM,4,,,,140.0,0,train
29036,city_16,0.91,Male,No,no_enrollment,High School,,3,,,never,182.0,0,train
16869,city_103,0.92,Female,No,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13.0,1,train
10497,city_19,0.682,,Has,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172.0,1,train
18099,city_103,0.92,,Has,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48.0,0,train
12081,city_65,0.802,Male,Has,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33.0,0,train
7364,city_160,0.92,,No,Full time course,High School,,2,100-500,Pvt Ltd,1,142.0,0,train
11184,city_74,0.579,,No,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34.0,0,train
7016,city_65,0.802,Male,Has,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14.0,1,train
8695,city_11,0.55,Male,Has,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27.0,1,train
6172,city_11,0.55,Male,Has,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24.0,1,train
14672,city_173,0.878,,No,no_enrollment,Masters,STEM,>20,,,1,150.0,0,train
18257,city_103,0.92,Female,Has,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20.0,0,train
24493,city_103,0.92,,Has,no_enrollment,Graduate,STEM,5,500-999,,1,140.0,0,train
1180,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52.0,0,train
28627,city_75,0.939,Male,Has,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160.0,0,train
8168,city_136,0.897,Male,Has,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3.0,0,train
10473,city_21,0.624,Male,Has,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2.0,1,train
25349,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28.0,0,train
5220,city_73,0.754,Male,Has,no_enrollment,Graduate,Other,>20,,,4,46.0,0,train
4789,city_67,0.855,Male,Has,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210.0,0,train
11338,city_114,0.926,Male,Has,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36.0,0,train
27963,city_98,0.949,Male,No,Full time course,Graduate,STEM,4,,,1,160.0,1,train
8571,city_21,0.624,Male,Has,Full time course,Graduate,STEM,2,10/49,NGO,2,101.0,0,train
16303,city_114,0.926,Male,Has,no_enrollment,Masters,STEM,6,50-99,,1,46.0,0,train
20576,city_97,0.925,Male,Has,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19.0,0,train
32966,city_21,0.624,Male,Has,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26.0,1,train
21199,city_90,0.698,,Has,Full time course,Graduate,STEM,7,<10,NGO,1,90.0,0,train
18819,city_50,0.8959999999999999,Male,Has,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59.0,0,train
14199,city_160,0.92,Male,Has,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260.0,0,train
7666,city_21,0.624,Female,Has,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74.0,0,train
13915,city_16,0.91,Male,Has,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20.0,1,train
10555,city_173,0.878,Male,Has,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8.0,0,train
16040,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131.0,0,train
32826,city_138,0.836,Male,Has,Full time course,Masters,STEM,7,,,1,45.0,0,train
13253,city_82,0.693,Male,Has,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109.0,0,train
15637,city_67,0.855,Male,Has,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70.0,0,train
28074,city_103,0.92,Female,Has,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17.0,0,train
23012,city_103,0.92,Female,No,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51.0,0,train
16110,city_103,0.92,Female,Has,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60.0,1,train
3921,city_36,0.893,,No,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4.0,0,train
24530,city_114,0.926,Male,No,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7.0,0,train
1924,city_102,0.804,,Has,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164.0,0,train
32776,city_64,0.6659999999999999,Male,Has,no_enrollment,Graduate,STEM,20,,,4,290.0,0,train
1907,city_102,0.804,Male,No,no_enrollment,High School,,2,<10,NGO,never,145.0,0,train
23947,city_103,0.92,,No,no_enrollment,Phd,STEM,,,,,70.0,0,train
3116,city_21,0.624,Male,No,no_enrollment,,,3,,,1,24.0,0,train
24829,city_103,0.92,Male,No,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133.0,1,train
30488,city_11,0.55,,No,Full time course,Graduate,STEM,2,,,1,20.0,0,train
1265,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76.0,0,train
22098,city_90,0.698,Female,No,Full time course,Masters,STEM,5,,,4,21.0,1,train
13342,city_21,0.624,Female,Has,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34.0,0,train
24608,city_160,0.92,Male,No,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15.0,0,train
20081,city_57,0.866,Male,No,no_enrollment,Graduate,STEM,>20,,,>4,156.0,0,train
24796,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15.0,0,train
7777,city_114,0.926,,Has,no_enrollment,Masters,STEM,>20,,,never,120.0,0,train
22718,city_157,0.769,,Has,no_enrollment,Graduate,No Major,14,10000+,,>4,47.0,0,train
1261,city_73,0.754,Male,Has,no_enrollment,Graduate,STEM,12,,,2,100.0,1,train
3396,city_67,0.855,Male,Has,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102.0,0,train
4283,city_103,0.92,Male,No,no_enrollment,High School,,4,,,never,52.0,0,train
18998,city_114,0.926,,Has,no_enrollment,High School,,9,10/49,,4,39.0,0,train
2003,city_103,0.92,Male,Has,Full time course,High School,,4,,,1,112.0,1,train
31786,city_103,0.92,Male,No,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14.0,0,train
8241,city_16,0.91,,Has,no_enrollment,,,11,,,1,4.0,0,train
12154,city_16,0.91,,Has,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55.0,0,train
23455,city_21,0.624,Male,Has,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49.0,1,train
19882,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,15,,,>4,72.0,0,train
28817,city_89,0.925,Male,Has,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141.0,1,train
4656,city_114,0.926,Male,No,no_enrollment,High School,,6,,Pvt Ltd,never,28.0,0,train
7280,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6.0,0,train
16903,city_103,0.92,Male,Has,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125.0,0,train
13333,city_75,0.939,,Has,no_enrollment,Graduate,STEM,>20,,,never,326.0,0,train
26241,city_103,0.92,Male,Has,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33.0,0,train
12381,city_102,0.804,,No,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40.0,0,train
4064,city_160,0.92,,Has,no_enrollment,Graduate,STEM,18,,,1,198.0,1,train
32092,city_103,0.92,Female,Has,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55.0,0,train
3766,city_150,0.698,Male,No,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32.0,0,train
30496,city_103,0.92,Male,Has,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11.0,0,train
7189,city_73,0.754,Male,Has,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41.0,0,train
29497,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87.0,1,train
31593,city_67,0.855,Male,Has,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114.0,0,train
12384,city_70,0.698,,Has,,,,>20,,,>4,33.0,0,train
11986,city_90,0.698,Male,Has,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15.0,0,train
31033,city_16,0.91,,No,Full time course,High School,,3,,,1,8.0,0,train
14835,city_173,0.878,Female,Has,Part time course,High School,,2,100-500,NGO,1,22.0,0,train
3728,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13.0,0,train
3024,city_98,0.949,Male,Has,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246.0,0,train
23508,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,1,22.0,0,train
29457,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81.0,0,train
12297,city_175,0.7759999999999999,,Has,Full time course,Graduate,STEM,4,10/49,Funded Startup,1,11.0,0,train
27708,city_94,0.698,Male,No,Full time course,Graduate,STEM,5,5000-9999,,,24.0,1,train
3065,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50.0,0,train
29226,city_104,0.924,Male,No,Full time course,High School,,6,,,never,15.0,0,train
5493,city_28,0.939,Male,Has,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,31.0,0,train
2891,city_114,0.926,Male,Has,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84.0,0,train
32509,city_136,0.897,Male,Has,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42.0,0,train
31841,city_21,0.624,,Has,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,105.0,1,train
907,city_103,0.92,Female,Has,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72.0,0,train
29526,city_115,0.789,Male,Has,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,>4,42.0,1,train
10956,city_94,0.698,Male,Has,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152.0,0,train
26099,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60.0,0,train
26163,city_21,0.624,Male,No,Full time course,Masters,STEM,2,,,never,8.0,0,train
4120,city_16,0.91,Male,No,Full time course,Masters,STEM,13,,,3,17.0,1,train
7335,city_83,0.923,Male,No,no_enrollment,High School,,1,,,1,33.0,0,train
706,city_16,0.91,Male,Has,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38.0,0,train
9890,city_103,0.92,Male,Has,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178.0,0,train
32683,city_160,0.92,Male,Has,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11.0,0,train
27104,city_36,0.893,Male,Has,no_enrollment,High School,,>20,,,never,87.0,0,train
7731,city_65,0.802,Male,Has,no_enrollment,Graduate,STEM,13,,,never,84.0,0,train
31943,city_71,0.884,Male,Has,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32.0,0,train
22899,city_100,0.887,,Has,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31.0,1,train
33339,city_21,0.624,Male,No,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39.0,0,train
20866,city_59,0.775,,Has,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1,12.0,0,train
21634,city_21,0.624,,Has,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50.0,0,train
29529,city_165,0.903,Male,Has,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55.0,1,train
4478,city_11,0.55,,Has,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7.0,1,train
32095,city_103,0.92,Male,Has,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104.0,0,train
18272,city_160,0.92,,Has,Full time course,Graduate,Business Degree,>20,,,>4,90.0,1,train
30098,city_103,0.92,Male,Has,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8.0,0,train
23825,city_21,0.624,Male,No,Full time course,Graduate,STEM,2,,,never,102.0,0,train
7672,city_21,0.624,,Has,no_enrollment,Masters,STEM,<1,10/49,Pvt Ltd,1,202.0,1,train
5633,city_145,0.555,,Has,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22.0,0,train
30695,city_21,0.624,Male,No,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42.0,0,train
5573,city_160,0.92,,No,no_enrollment,Primary School,,4,,Pvt Ltd,never,50.0,0,train
24936,city_21,0.624,Male,Has,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88.0,0,train
397,city_73,0.754,,Has,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81.0,0,train
31602,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7.0,0,train
5278,city_21,0.624,Male,No,no_enrollment,,,3,,Pvt Ltd,never,218.0,0,train
16814,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62.0,0,train
19249,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83.0,0,train
9475,city_28,0.939,Male,Has,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11.0,0,train
4865,city_114,0.926,Male,No,Part time course,Phd,STEM,>20,50-99,,>4,10.0,0,train
20881,city_28,0.939,Male,Has,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114.0,0,train
21563,city_21,0.624,,Has,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36.0,0,train
25114,city_102,0.804,,No,,Masters,STEM,6,10/49,Pvt Ltd,1,17.0,0,train
26002,city_16,0.91,Male,No,Full time course,Graduate,STEM,2,,,never,80.0,1,train
8528,city_160,0.92,Male,Has,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108.0,0,train
6141,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45.0,0,train
27667,city_103,0.92,Male,No,Full time course,Graduate,STEM,5,,,never,77.0,0,train
2821,city_114,0.926,Male,Has,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8.0,0,train
21216,city_173,0.878,,No,no_enrollment,Graduate,STEM,5,,,1,28.0,0,train
25495,city_142,0.727,Female,Has,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37.0,0,train
20791,city_16,0.91,,No,Full time course,Graduate,STEM,2,,,2,108.0,1,train
28015,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162.0,0,train
10685,city_73,0.754,,Has,Full time course,High School,,9,,,>4,41.0,0,train
405,city_165,0.903,Male,Has,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4.0,0,train
13891,city_71,0.884,Female,No,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41.0,0,train
33050,city_165,0.903,,Has,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12.0,0,train
399,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190.0,0,train
8202,city_21,0.624,,Has,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29.0,1,train
8751,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11.0,0,train
20744,city_103,0.92,Male,No,Full time course,High School,,3,10000+,Pvt Ltd,1,30.0,0,train
25380,city_103,0.92,Male,Has,no_enrollment,Masters,STEM,13,100-500,,>4,39.0,0,train
24617,city_102,0.804,Male,Has,Full time course,High School,,9,,,1,16.0,0,train
12509,city_114,0.926,Male,No,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5.0,0,train
25473,city_26,0.698,Male,No,Full time course,High School,,8,,,never,39.0,0,train
13083,city_114,0.926,Male,Has,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29.0,0,train
12454,city_21,0.624,,Has,Full time course,Masters,STEM,4,50-99,NGO,2,210.0,0,train
3500,city_103,0.92,Other,No,Part time course,High School,,6,50-99,Funded Startup,1,54.0,0,train
15922,city_160,0.92,Male,Has,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44.0,0,train
6685,city_16,0.91,Male,Has,no_enrollment,Graduate,STEM,15,,,>4,47.0,0,train
28838,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74.0,0,train
24082,city_21,0.624,Male,Has,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,8.0,1,train
24846,city_21,0.624,,No,Full time course,Graduate,STEM,7,,,never,20.0,1,train
1020,city_103,0.92,Male,Has,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162.0,0,train
6189,city_36,0.893,,No,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,110.0,0,train
16994,city_46,0.762,Other,Has,Part time course,High School,,3,10/49,Pvt Ltd,1,262.0,0,train
13135,city_138,0.836,Male,Has,no_enrollment,Masters,STEM,14,,,1,6.0,0,train
14578,city_64,0.6659999999999999,Male,Has,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,1,19.0,1,train
20732,city_64,0.6659999999999999,Other,No,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,23.0,1,train
16496,city_21,0.624,Male,No,,Graduate,STEM,<1,,,1,107.0,1,train
16537,city_136,0.897,Male,Has,no_enrollment,Masters,STEM,15,10000+,,>4,134.0,0,train
